spot_id,region
SPOT_093,tumor_core
SPOT_094,tumor_core
SPOT_095,stroma
SPOT_096,immune
SPOT_097,tumor_core
SPOT_098,stroma
SPOT_099,immune
SPOT_100,immune
SPOT_101,necrotic
SPOT_102,stroma
SPOT_103,immune
SPOT_104,necrotic
SPOT_105,necrotic
SPOT_106,immune
SPOT_107,immune
SPOT_108,immune
SPOT_109,immune
SPOT_110,tumor_core
SPOT_111,tumor_core
SPOT_112,necrotic
SPOT_113,tumor_core
SPOT_114,necrotic
SPOT_115,immune
SPOT_116,necrotic
SPOT_117,stroma
SPOT_118,stroma
SPOT_119,stroma
SPOT_120,necrotic
SPOT_121,stroma
SPOT_122,tumor_core
SPOT_123,necrotic
SPOT_124,tumor_core
SPOT_125,necrotic
SPOT_126,tumor_core
SPOT_127,immune
SPOT_128,immune
SPOT_129,immune
SPOT_130,immune
SPOT_131,immune
SPOT_132,immune
SPOT_133,stroma
SPOT_134,necrotic
SPOT_135,tumor_core
SPOT_136,necrotic
SPOT_137,tumor_core
SPOT_138,tumor_core
SPOT_139,tumor_core
SPOT_140,tumor_core
SPOT_141,immune
SPOT_142,necrotic
SPOT_143,immune
SPOT_144,stroma
SPOT_145,immune
SPOT_146,stroma
SPOT_147,tumor_core
SPOT_148,necrotic
SPOT_149,tumor_core
SPOT_150,tumor_core
SPOT_151,necrotic
SPOT_152,immune
SPOT_153,stroma
SPOT_154,tumor_core
SPOT_155,stroma
SPOT_156,tumor_core
SPOT_157,immune
SPOT_158,tumor_core
SPOT_159,immune
SPOT_160,immune
SPOT_161,tumor_core
SPOT_162,immune
SPOT_163,stroma
SPOT_164,necrotic
SPOT_165,necrotic
SPOT_166,immune
SPOT_167,stroma
SPOT_168,immune
SPOT_169,immune
SPOT_170,necrotic
SPOT_171,immune
SPOT_172,immune
SPOT_173,tumor_core
SPOT_174,necrotic
SPOT_175,immune
SPOT_176,necrotic
SPOT_177,immune
SPOT_178,immune
SPOT_179,stroma
SPOT_180,tumor_core
SPOT_181,stroma
SPOT_182,tumor_core
SPOT_183,tumor_core
SPOT_184,stroma
SPOT_185,stroma
SPOT_186,necrotic
SPOT_187,stroma
SPOT_188,immune
SPOT_189,tumor_core
SPOT_190,necrotic
SPOT_191,stroma
SPOT_192,necrotic
SPOT_193,tumor_core
SPOT_194,stroma
SPOT_195,immune
SPOT_196,stroma
SPOT_197,immune
SPOT_198,immune
SPOT_199,stroma
SPOT_200,tumor_core
SPOT_201,necrotic
SPOT_202,tumor_core
SPOT_203,necrotic
SPOT_204,immune
SPOT_205,tumor_core
SPOT_206,immune
SPOT_207,stroma
SPOT_208,immune
SPOT_209,necrotic
SPOT_210,tumor_core
SPOT_211,tumor_core
SPOT_212,tumor_core
SPOT_213,stroma
SPOT_214,necrotic
SPOT_215,tumor_core
SPOT_216,stroma
SPOT_217,immune
SPOT_218,stroma
SPOT_219,stroma
SPOT_220,necrotic
SPOT_221,necrotic
SPOT_222,necrotic
SPOT_223,stroma
SPOT_224,immune
SPOT_225,necrotic
SPOT_226,immune
SPOT_227,immune
SPOT_228,stroma
SPOT_229,stroma
SPOT_230,stroma
SPOT_231,tumor_core
SPOT_232,necrotic
SPOT_233,tumor_core
SPOT_234,immune
SPOT_235,necrotic
SPOT_236,immune
SPOT_237,necrotic
SPOT_238,stroma
SPOT_239,tumor_core
SPOT_240,necrotic
SPOT_241,tumor_core
SPOT_242,tumor_core
SPOT_243,tumor_core
SPOT_244,tumor_core
SPOT_245,necrotic
SPOT_246,necrotic
SPOT_247,necrotic
SPOT_248,stroma
SPOT_249,necrotic
SPOT_250,immune
SPOT_251,stroma
SPOT_252,tumor_core
SPOT_253,necrotic
SPOT_254,immune
SPOT_255,tumor_core
SPOT_256,necrotic
SPOT_257,immune
SPOT_258,tumor_core
SPOT_259,necrotic
SPOT_260,stroma
SPOT_261,tumor_core
SPOT_262,immune
SPOT_263,immune
SPOT_264,necrotic
SPOT_265,immune
SPOT_266,tumor_core
SPOT_267,tumor_core
SPOT_268,stroma
SPOT_269,tumor_core
SPOT_270,necrotic
SPOT_271,tumor_core
SPOT_272,immune
SPOT_273,necrotic
SPOT_274,necrotic
SPOT_275,immune
SPOT_276,tumor_core
SPOT_277,immune
SPOT_278,tumor_core
SPOT_279,tumor_core
SPOT_280,tumor_core
SPOT_281,tumor_core
SPOT_282,tumor_core
SPOT_283,tumor_core
SPOT_284,necrotic
SPOT_285,immune
SPOT_286,necrotic
SPOT_287,stroma
SPOT_288,stroma
SPOT_289,immune
SPOT_290,necrotic
SPOT_291,stroma
SPOT_292,necrotic
SPOT_293,stroma
SPOT_294,tumor_core
SPOT_295,immune
SPOT_296,necrotic
SPOT_297,necrotic
SPOT_298,necrotic
SPOT_299,stroma
